Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4282918,,None,538.57,2,6.02,14h,CN(C)CCCCOC(=O)Nc1ccc(Cn2nc(-c3ccc(C(F)(F)F)cc3)c3ccccc3c2=O)cc1,IC50,'=',1470,nM,5.83,,,UO_0000065,,,,,0,CHEMBL4254928,Antiviral activity against DENV2 D2Y98P infected in human HuH7 cells assessed as inhibition of viral RNA replication incubated for 48 hrs by qRT-PCR method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,None,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4251649,1,Scientific Literature,Eur J Med Chem,2018,None,,,,1.47
CHEMBL4855606,,None,284.28,0,1.84,6l,CNc1nc(Nc2cccc(C(=O)O)c2)c2nc[nH]c2n1,IC50,,,,,,Not Active,,,,,,0,CHEMBL4843112,Antiviral activity against Dengue virus serotype 2 New Guinea C infected in pre-seeded Huh-7 cells assessed as inhibition of viral replication incubated for 72 hrs by immunodetection based secondary yield reduction assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Huh-7,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4842338,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 72.0 hr,,,
CHEMBL4452133,,None,1312.47,None,None,15,CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)N[C@@H](Cc6ccc(O)cc6)C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,IC50,'=',2200,nM,5.66,,,UO_0000065,,,,,0,CHEMBL4400450,Antiviral activity against DENV2 16681 infected in African green monkey Vero E6 cells assessed as inhibitory rate of NS4B positive cells measured after 96 hrs incubation by DAPI staining based immunofluorescence method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero C1008,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4396972,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL4295411,,,,2.2
CHEMBL4531080,,None,865.03,3,0.14,18,COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@H](C(=O)NN)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)NN)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4400450,Antiviral activity against DENV2 16681 infected in African green monkey Vero E6 cells assessed as inhibitory rate of NS4B positive cells measured after 96 hrs incubation by DAPI staining based immunofluorescence method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero C1008,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4396972,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL4295411,,,,
CHEMBL4571922,,None,1073.25,None,None,19,COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@H](C(=O)N/N=C/c7ccc(O)cc7)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)N/N=C/c7ccc(O)cc7)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4400450,Antiviral activity against DENV2 16681 infected in African green monkey Vero E6 cells assessed as inhibitory rate of NS4B positive cells measured after 96 hrs incubation by DAPI staining based immunofluorescence method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero C1008,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4396972,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL4295411,,,,
CHEMBL2094770,,None,344.45,0,3.53,125,CN1CCN(C2Cc3ccc(F)cc3Sc3ccc(O)cc32)CC1,IC50,'=',1200,nM,5.92,,,UO_0000065,,,,,0,CHEMBL4398380,Antiviral activity against DENV2 16681 infected in HEK293 cells after 72 hrs by luciferase reporter gene assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,None,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4396891,1,Scientific Literature,Eur J Med Chem,2019,None,,,,1.2
CHEMBL4515705,,None,1423.67,None,None,12,COC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1O[C@@H](O[C@H]2[C@@H](O[C@H]3CC[C@]4(C)[C@H]5C(=O)C=C6[C@@H]7C[C@@](C)(C(=O)N[C@H](Cc8c[nH]c9ccccc89)C(=O)OC)CC[C@]7(C)CC[C@@]6(C)[C@]5(C)CC[C@H]4C3(C)C)O[C@H](C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)OC)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4400450,Antiviral activity against DENV2 16681 infected in African green monkey Vero E6 cells assessed as inhibitory rate of NS4B positive cells measured after 96 hrs incubation by DAPI staining based immunofluorescence method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero C1008,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4396972,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL4295411,,,,
CHEMBL4285875,,None,447.51,1,5.28,11d,CCCCOC(=O)Nc1ccc(CN2N=C(c3ccc(F)cc3)C3C=CC=CC3C2=O)cc1,IC50,'=',1400,nM,5.85,,,UO_0000065,,,,,0,CHEMBL4254928,Antiviral activity against DENV2 D2Y98P infected in human HuH7 cells assessed as inhibition of viral RNA replication incubated for 48 hrs by qRT-PCR method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,None,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4251649,1,Scientific Literature,Eur J Med Chem,2018,None,,,,1.4
CHEMBL4281850,,None,488.56,1,5.14,14m,CN(C)CCCCOC(=O)Nc1ccc(Cn2nc(-c3ccccc3F)c3ccccc3c2=O)cc1,IC50,'=',1320,nM,5.88,,,UO_0000065,,,,,0,CHEMBL4254928,Antiviral activity against DENV2 D2Y98P infected in human HuH7 cells assessed as inhibition of viral RNA replication incubated for 48 hrs by qRT-PCR method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,None,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4251649,1,Scientific Literature,Eur J Med Chem,2018,None,,,,1.32
CHEMBL4592292,,None,1204.5,None,None,10,COC(=O)[C@@H](CC(C)C)NC(=O)[C@H]1O[C@@H](O[C@H]2[C@@H](O[C@H]3CC[C@]4(C)[C@H]5C(=O)C=C6[C@@H]7C[C@@](C)(C(=O)N[C@H](CC(C)C)C(=O)OC)CC[C@]7(C)CC[C@@]6(C)[C@]5(C)CC[C@H]4C3(C)C)O[C@H](C(=O)N[C@H](CC(C)C)C(=O)OC)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4400450,Antiviral activity against DENV2 16681 infected in African green monkey Vero E6 cells assessed as inhibitory rate of NS4B positive cells measured after 96 hrs incubation by DAPI staining based immunofluorescence method,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero C1008,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL4396972,1,Scientific Literature,Bioorg Med Chem Lett,2019,CHEMBL4295411,,,,
CHEMBL1269813,,None,265.27,0,-0.65,4,Cc1ccnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1273409,Antiviral activity against Dengue virus type 2 in BHK-21 cells assessed as inhibition of viral replication after 24 hrs by luciferase assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,BHK-21,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL1269004,1,Scientific Literature,J Med Chem,2010,CHEMBL3308360,,,,10
CHEMBL1269812,,None,265.27,0,-0.65,6,Cc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,'=',62,nM,7.21,,,UO_0000065,,,,,0,CHEMBL1273411,Antiviral activity against Dengue virus type 2 in Vero cells assessed as inhibition of viral replication after 6 days using neutral red dye by plaque assay,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,Vero,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL1269004,1,Scientific Literature,J Med Chem,2010,CHEMBL3307520,,,,0.062
CHEMBL3763557,,None,605.6,2,6.04,"Figure 3, R1C3",COc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1COc1ccc(NC(C)=O)cc1,IC50,'=',61500,nM,4.21,,,UO_0000065,,,,,0,CHEMBL3766888,Antiviral activity against Dengue virus 2 infected in human HepG2 cells assessed as reduction in NS1 level after 72 hrs by sandwich ELISA,F,BAO_0000218,organism-based format,dengue virus type 2,None,None,HepG2,None,,,,CHEMBL613966,dengue virus type 2,dengue virus type 2,ORGANISM,CHEMBL3763009,1,Scientific Literature,Eur J Med Chem,2016,CHEMBL3307718,,,,61.5
